instance,temperature,lastRepairYear,manufactureYear
180,-84.9,2017,2011
182,-85.2,2017,2011
184,-85.0,2017,2011
186,-84.6,2017,2011
188,-85.0,2017,2011
190,-84.8,2017,2011
192,-85.2,2017,2011
194,-85.2,2017,2011
196,-85.0,2017,2011
198,-84.7,2017,2011
200,-84.9,2017,2011
202,-85.3,2017,2011
204,-84.8,2017,2011
206,-85.0,2017,2011
208,-84.9,2017,2011
210,-85.2,2017,2011
212,-85.1,2017,2011
214,-85.0,2017,2011
216,-85.2,2017,2011
218,-84.9,2017,2011
220,-85.2,2017,2011
222,-84.8,2017,2011
224,-85.3,2017,2011
226,-84.9,2017,2011
228,-84.9,2017,2011
230,-85.1,2017,2011
232,-85.2,2017,2011
234,-85.0,2017,2011
236,-85.2,2017,2011
238,-85.3,2017,2011
240,-84.8,2017,2011
242,-84.6,2017,2011
244,-85.1,2017,2011
246,-84.4,2017,2011
248,-85.1,2017,2011
250,-84.9,2017,2011
252,-84.9,2017,2011
254,-84.8,2017,2011
256,-85.0,2017,2011
258,-85.0,2017,2011
260,-85.1,2017,2011
262,-85.0,2017,2011
264,-85.0,2017,2011
266,-85.3,2017,2011
268,-84.9,2017,2011
270,-85.2,2017,2011
272,-85.0,2017,2011
274,-85.3,2017,2011
276,-84.9,2017,2011
278,-85.5,2017,2011
280,-85.1,2017,2011
282,-85.2,2017,2011
284,-85.3,2017,2011
286,-85.2,2017,2011
288,-85.4,2017,2011
290,-85.2,2017,2011
292,-85.0,2017,2011
294,-85.0,2017,2011
296,-85.6,2017,2011
298,-84.7,2017,2011
300,-84.7,2017,2011
302,-84.9,2017,2011
304,-85.2,2017,2011
306,-84.9,2017,2011
308,-84.8,2017,2011
310,-85.2,2017,2011
312,-85.4,2017,2011
314,-85.2,2017,2011
316,-85.2,2017,2011
318,-85.0,2017,2011
320,-85.0,2017,2011
322,-85.0,2017,2011
324,-85.3,2017,2011
326,-85.0,2017,2011
328,-84.8,2017,2011
330,-85.0,2017,2011
332,-85.0,2017,2011
334,-85.0,2017,2011
336,-85.2,2017,2011
338,-84.8,2017,2011
340,-84.9,2017,2011
342,-85.0,2017,2011
344,-85.1,2017,2011
346,-85.0,2017,2011
348,-84.6,2017,2011
350,-85.1,2017,2011
352,-85.3,2017,2011
354,-85.1,2017,2011
356,-85.1,2017,2011
358,-85.2,2017,2011
360,-85.3,2017,2011
362,-84.7,2017,2011
364,-85.1,2017,2011
366,-85.1,2017,2011
368,-85.4,2017,2011
370,-85.2,2017,2011
372,-85.0,2017,2011
374,-85.4,2017,2011
376,-85.2,2017,2011
378,-85.1,2017,2011
380,-84.9,2017,2011
382,-84.8,2017,2011
384,-85.0,2017,2011
386,-84.9,2017,2011
388,-85.3,2017,2011
390,-85.2,2017,2011
392,-84.9,2017,2011
394,-84.7,2017,2011
396,-85.0,2017,2011
398,-84.9,2017,2011
400,-84.9,2017,2011
402,-85.0,2017,2011
404,-84.9,2017,2011
406,-85.1,2017,2011
408,-85.3,2017,2011
410,-84.9,2017,2011
412,-85.2,2017,2011
414,-85.1,2017,2011
416,-85.0,2017,2011
418,-85.5,2017,2011
420,-85.3,2017,2011
422,-84.7,2017,2011
424,-84.9,2017,2011
426,-85.1,2017,2011
428,-85.1,2017,2011
430,-84.7,2017,2011
432,-84.8,2017,2011
434,-85.1,2017,2011
436,-85.0,2017,2011
438,-84.8,2017,2011
440,-84.9,2017,2011
442,-85.2,2017,2011
444,-85.0,2017,2011
446,-85.5,2017,2011
448,-84.8,2017,2011
450,-85.0,2017,2011
452,-84.9,2017,2011
454,-84.5,2017,2011
456,-85.1,2017,2011
458,-84.9,2017,2011
460,-84.8,2017,2011
462,-85.2,2017,2011
464,-85.0,2017,2011
466,-84.8,2017,2011
468,-85.1,2017,2011
470,-85.1,2017,2011
472,-85.0,2017,2011
474,-84.8,2017,2011
476,-85.3,2017,2011
478,-84.8,2017,2011
480,-84.8,2017,2011
482,-85.5,2017,2011
484,-84.8,2017,2011
486,-85.0,2017,2011
488,-84.8,2017,2011
490,-84.9,2017,2011
492,-85.1,2017,2011
494,-85.1,2017,2011
496,-85.3,2017,2011
498,-84.8,2017,2011
500,-85.0,2017,2011
502,-85.0,2017,2011
504,-84.8,2017,2011
506,-84.8,2017,2011
508,-84.8,2017,2011
510,-84.9,2017,2011
512,-84.8,2017,2011
514,-84.8,2017,2011
516,-84.9,2017,2011
518,-85.3,2017,2011
520,-84.9,2017,2011
522,-85.3,2017,2011
524,-85.1,2017,2011
526,-85.2,2017,2011
528,-85.0,2017,2011
530,-85.2,2017,2011
532,-85.2,2017,2011
534,-85.0,2017,2011
536,-85.1,2017,2011
538,-85.0,2017,2011
540,-85.0,2017,2011
542,-84.9,2017,2011
544,-85.1,2017,2011
546,-85.1,2017,2011
548,-85.1,2017,2011
550,-84.8,2017,2011
552,-84.8,2017,2011
554,-84.8,2017,2011
556,-85.0,2017,2011
558,-85.2,2017,2011
560,-85.1,2017,2011
562,-85.2,2017,2011
564,-85.0,2017,2011
566,-85.2,2017,2011
568,-84.7,2017,2011
570,-84.8,2017,2011
572,-85.0,2017,2011
574,-85.1,2017,2011
576,-85.0,2017,2011
578,-85.2,2017,2011
580,-85.1,2017,2011
582,-84.8,2017,2011
584,-85.0,2017,2011
586,-84.6,2017,2011
588,-84.9,2017,2011
590,-84.8,2017,2011
592,-85.3,2017,2011
594,-85.1,2017,2011
596,-85.0,2017,2011
598,-85.3,2017,2011
600,-84.8,2017,2011
602,-84.9,2017,2011
604,-85.0,2017,2011
606,-84.5,2017,2011
608,-85.2,2017,2011
610,-85.0,2017,2011
612,-85.5,2017,2011
614,-85.3,2017,2011
616,-85.1,2017,2011
618,-85.0,2017,2011
620,-84.8,2017,2011
622,-84.9,2017,2011
624,-84.9,2017,2011
626,-85.1,2017,2011
628,-85.1,2017,2011
630,-84.9,2017,2011
632,-85.1,2017,2011
634,-85.3,2017,2011
636,-85.0,2017,2011
638,-85.3,2017,2011
640,-84.9,2017,2011
642,-85.1,2017,2011
644,-85.0,2017,2011
646,-85.1,2017,2011
648,-84.5,2017,2011
650,-85.0,2017,2011
652,-85.4,2017,2011
654,-84.8,2017,2011
656,-84.7,2017,2011
658,-84.9,2017,2011
660,-85.2,2017,2011
662,-84.9,2017,2011
664,-85.0,2017,2011
666,-85.2,2017,2011
668,-85.0,2017,2011
670,-85.1,2017,2011
672,-85.4,2017,2011
674,-85.4,2017,2011
676,-85.2,2017,2011
678,-84.7,2017,2011
680,-84.9,2017,2011
682,-84.5,2017,2011
684,-85.2,2017,2011
686,-84.8,2017,2011
688,-84.9,2017,2011
690,-84.8,2017,2011
692,-85.4,2017,2011
694,-85.3,2017,2011
696,-85.0,2017,2011
698,-85.0,2017,2011
700,-84.8,2017,2011
702,-84.9,2017,2011
704,-84.8,2017,2011
706,-85.2,2017,2011
708,-85.2,2017,2011
710,-85.3,2017,2011
712,-84.8,2017,2011
714,-84.9,2017,2011
716,-85.4,2017,2011
718,-84.9,2017,2011
720,-84.9,2017,2011
722,-85.0,2017,2011
724,-85.2,2017,2011
726,-85.1,2017,2011
728,-85.1,2017,2011
730,-84.8,2017,2011
732,-85.0,2017,2011
734,-85.1,2017,2011
736,-85.0,2017,2011
738,-84.7,2017,2011
740,-85.3,2017,2011
742,-84.9,2017,2011
744,-84.8,2017,2011
746,-84.9,2017,2011
748,-84.9,2017,2011
750,-85.3,2017,2011
752,-85.1,2017,2011
754,-84.8,2017,2011
756,-84.8,2017,2011
758,-84.8,2017,2011
760,-84.9,2017,2011
762,-84.8,2017,2011
764,-85.0,2017,2011
766,-84.9,2017,2011
768,-84.5,2017,2011
770,-84.7,2017,2011
772,-85.4,2017,2011
774,-85.1,2017,2011
776,-84.9,2017,2011
778,-84.8,2017,2011
780,-85.4,2017,2011
782,-85.0,2017,2011
784,-85.2,2017,2011
786,-85.0,2017,2011
788,-85.1,2017,2011
790,-84.9,2017,2011
792,-85.1,2017,2011
794,-84.9,2017,2011
796,-84.8,2017,2011
798,-84.6,2017,2011
800,-85.0,2017,2011
802,-84.8,2017,2011
804,-85.1,2017,2011
806,-84.7,2017,2011
808,-85.2,2017,2011
810,-85.0,2017,2011
812,-85.1,2017,2011
814,-85.0,2017,2011
816,-85.1,2017,2011
818,-84.8,2017,2011
820,-84.9,2017,2011
822,-85.1,2017,2011
824,-85.5,2017,2011
826,-85.0,2017,2011
828,-85.0,2017,2011
830,-85.2,2017,2011
832,-84.7,2017,2011
834,-85.0,2017,2011
836,-85.0,2017,2011
838,-85.1,2017,2011
840,-85.2,2017,2011
842,-85.2,2017,2011
844,-85.0,2017,2011
846,-85.1,2017,2011
848,-84.7,2017,2011
850,-85.4,2017,2011
852,-85.1,2017,2011
854,-84.9,2017,2011
856,-85.3,2017,2011
858,-85.1,2017,2011
860,-84.9,2017,2011
862,-84.7,2017,2011
864,-84.8,2017,2011
866,-85.0,2017,2011
868,-84.9,2017,2011
870,-85.4,2017,2011
872,-85.2,2017,2011
874,-85.0,2017,2011
876,-85.3,2017,2011
878,-85.2,2017,2011
880,-84.9,2017,2011
882,-85.0,2017,2011
884,-85.0,2017,2011
886,-84.7,2017,2011
888,-84.8,2017,2011
890,-85.0,2017,2011
892,-84.9,2017,2011
894,-84.9,2017,2011
896,-85.0,2017,2011
898,-85.4,2017,2011
900,-84.6,2017,2011
902,-84.9,2017,2011
904,-85.1,2017,2011
906,-85.3,2017,2011
908,-84.7,2017,2011
910,-84.8,2017,2011
912,-84.7,2017,2011
914,-85.4,2017,2011
916,-85.3,2017,2011
918,-84.7,2017,2011
920,-84.6,2017,2011
922,-84.9,2017,2011
924,-84.7,2017,2011
926,-85.0,2017,2011
928,-85.1,2017,2011
930,-85.1,2017,2011
932,-84.9,2017,2011
934,-84.7,2017,2011
936,-85.2,2017,2011
938,-84.7,2017,2011
940,-84.8,2017,2011
942,-84.8,2017,2011
944,-85.2,2017,2011
946,-85.2,2017,2011
948,-85.0,2017,2011
950,-85.2,2017,2011
952,-84.8,2017,2011
954,-84.8,2017,2011
956,-84.8,2017,2011
958,-84.9,2017,2011
960,-85.0,2017,2011
962,-85.1,2017,2011
964,-85.2,2017,2011
966,-85.1,2017,2011
968,-84.9,2017,2011
970,-85.0,2017,2011
972,-85.3,2017,2011
974,-85.2,2017,2011
976,-84.8,2017,2011
978,-85.1,2017,2011
980,-85.0,2017,2011
982,-85.3,2017,2011
984,-85.1,2017,2011
986,-85.1,2017,2011
988,-84.8,2017,2011
990,-85.0,2017,2011
992,-84.8,2017,2011
994,-85.2,2017,2011
996,-85.1,2017,2011
998,-84.8,2017,2011
1000,-85.7,2017,2011
1002,-84.6,2017,2011
1004,-85.0,2017,2011
1006,-85.3,2017,2011
1008,-85.2,2017,2011
1010,-84.8,2017,2011
1012,-85.1,2017,2011
1014,-85.0,2017,2011
1016,-85.0,2017,2011
1018,-84.9,2017,2011
1020,-85.1,2017,2011
1022,-85.2,2017,2011
1024,-84.9,2017,2011
1026,-85.2,2017,2011
1028,-85.0,2017,2011
1030,-84.9,2017,2011
1032,-85.1,2017,2011
1034,-84.9,2017,2011
1036,-84.9,2017,2011
1038,-84.8,2017,2011
1040,-85.3,2017,2011
1042,-85.0,2017,2011
1044,-84.9,2017,2011
1046,-84.7,2017,2011
1048,-85.0,2017,2011
1050,-85.0,2017,2011
1052,-85.3,2017,2011
1054,-84.8,2017,2011
1056,-85.2,2017,2011
1058,-85.0,2017,2011
1060,-84.8,2017,2011
1062,-85.2,2017,2011
1064,-84.7,2017,2011
1066,-85.2,2017,2011
1068,-85.0,2017,2011
1070,-85.0,2017,2011
1072,-84.9,2017,2011
1074,-85.1,2017,2011
1076,-84.9,2017,2011
1078,-84.9,2017,2011
1080,-84.9,2017,2011
1082,-85.0,2017,2011
1084,-84.8,2017,2011
1086,-85.4,2017,2011
1088,-84.9,2017,2011
1090,-85.0,2017,2011
1092,-85.2,2017,2011
1094,-84.8,2017,2011
1096,-85.0,2017,2011
1098,-85.3,2017,2011
1100,-84.8,2017,2011
1102,-85.3,2017,2011
1104,-85.0,2017,2011
1106,-84.8,2017,2011
1108,-85.1,2017,2011
1110,-84.9,2017,2011
1112,-84.9,2017,2011
1114,-84.6,2017,2011
1116,-85.1,2017,2011
1118,-85.0,2017,2011
1120,-84.9,2017,2011
1122,-84.9,2017,2011
1124,-85.0,2017,2011
1126,-84.9,2017,2011
1128,-85.1,2017,2011
1130,-85.1,2017,2011
1132,-84.9,2017,2011
1134,-84.9,2017,2011
1136,-84.6,2017,2011
1138,-85.3,2017,2011
1140,-85.0,2017,2011
1142,-85.3,2017,2011
1144,-85.0,2017,2011
1146,-84.8,2017,2011
1148,-85.0,2017,2011
1150,-84.7,2017,2011
1152,-84.9,2017,2011
1154,-85.0,2017,2011
1156,-84.9,2017,2011
1158,-85.2,2017,2011
1160,-84.8,2017,2011
1162,-85.2,2017,2011
1164,-84.9,2017,2011
1166,-84.8,2017,2011
1168,-85.2,2017,2011
1170,-85.2,2017,2011
1172,-85.1,2017,2011
1174,-84.9,2017,2011
1176,-84.8,2017,2011
1178,-85.1,2017,2011
1180,-84.9,2017,2011
1182,-84.9,2017,2011
1184,-84.7,2017,2011
1186,-85.0,2017,2011
1188,-85.0,2017,2011
1190,-85.0,2017,2011
1192,-85.3,2017,2011
1194,-85.1,2017,2011
1196,-85.2,2017,2011
1198,-85.4,2017,2011
1200,-85.2,2017,2011
1202,-84.7,2017,2011
1204,-85.1,2017,2011
1206,-85.0,2017,2011
1208,-84.8,2017,2011
1210,-85.1,2017,2011
1212,-84.8,2017,2011
1214,-85.1,2017,2011
1216,-84.9,2017,2011
1218,-85.0,2017,2011
1220,-85.0,2017,2011
1222,-84.8,2017,2011
1224,-84.8,2017,2011
1226,-85.0,2017,2011
1228,-85.3,2017,2011
1230,-84.3,2017,2011
1232,-84.7,2017,2011
1234,-85.0,2017,2011
1236,-85.1,2017,2011
1238,-84.9,2017,2011
1240,-85.0,2017,2011
1242,-85.2,2017,2011
1244,-84.6,2017,2011
1246,-84.9,2017,2011
1248,-85.0,2017,2011
1250,-85.0,2017,2011
1252,-85.0,2017,2011
1254,-84.7,2017,2011
1256,-85.0,2017,2011
1258,-84.7,2017,2011
1260,-84.9,2017,2011
1262,-85.0,2017,2011
1264,-84.9,2017,2011
1266,-85.0,2017,2011
1268,-85.2,2017,2011
1270,-84.7,2017,2011
1272,-84.9,2017,2011
1274,-85.2,2017,2011
1276,-84.6,2017,2011
1278,-84.9,2017,2011
1280,-85.2,2017,2011
1282,-84.9,2017,2011
1284,-85.2,2017,2011
1286,-84.9,2017,2011
1288,-84.8,2017,2011
1290,-85.3,2017,2011
1292,-85.0,2017,2011
1294,-85.2,2017,2011
1296,-84.7,2017,2011
1298,-85.1,2017,2011
1300,-85.1,2017,2011
1302,-84.8,2017,2011
1304,-85.0,2017,2011
1306,-84.5,2017,2011
1308,-85.3,2017,2011
1310,-85.0,2017,2011
1312,-85.1,2017,2011
1314,-85.1,2017,2011
1316,-84.9,2017,2011
1318,-84.9,2017,2011
1320,-84.9,2017,2011
1322,-84.7,2017,2011
1324,-85.1,2017,2011
1326,-85.2,2017,2011
1328,-85.2,2017,2011
1330,-84.8,2017,2011
1332,-85.1,2017,2011
1334,-85.2,2017,2011
1336,-85.2,2017,2011
1338,-85.1,2017,2011
1340,-85.0,2017,2011
1342,-84.8,2017,2011
1344,-84.9,2017,2011
1346,-85.3,2017,2011
1348,-85.1,2017,2011
1350,-85.2,2017,2011
1352,-84.7,2017,2011
1354,-84.8,2017,2011
1356,-85.0,2017,2011
1358,-84.8,2017,2011
1360,-85.1,2017,2011
1362,-85.0,2017,2011
1364,-84.9,2017,2011
1366,-84.8,2017,2011
1368,-85.1,2017,2011
1370,-85.0,2017,2011
1372,-85.2,2017,2011
1374,-85.0,2017,2011
1376,-84.9,2017,2011
1378,-84.8,2017,2011
1380,-84.9,2017,2011
1382,-85.0,2017,2011
1384,-85.0,2017,2011
1386,-85.1,2017,2011
1388,-85.1,2017,2011
1390,-84.7,2017,2011
1392,-84.8,2017,2011
1394,-84.7,2017,2011
1396,-84.8,2017,2011
1398,-85.1,2017,2011
1400,-85.0,2017,2011
1402,-84.7,2017,2011
1404,-85.4,2017,2011
1406,-84.7,2017,2011
1408,-85.1,2017,2011
1410,-85.3,2017,2011
1412,-85.1,2017,2011
1414,-84.9,2017,2011
1416,-85.1,2017,2011
1418,-84.9,2017,2011
1420,-85.3,2017,2011
1422,-85.1,2017,2011
1424,-84.7,2017,2011
1426,-84.7,2017,2011
1428,-84.9,2017,2011
1430,-85.2,2017,2011
1432,-84.9,2017,2011
1434,-85.1,2017,2011
1436,-85.0,2017,2011
1438,-84.7,2017,2011
1440,-85.3,2017,2011
1442,-85.1,2017,2011
1444,-85.0,2017,2011
1446,-84.9,2017,2011
1448,-84.7,2017,2011
1450,-85.0,2017,2011
1452,-84.8,2017,2011
1454,-85.0,2017,2011
1456,-85.2,2017,2011
1458,-85.1,2017,2011
1460,-85.0,2017,2011
1462,-84.9,2017,2011
1464,-84.9,2017,2011
1466,-85.0,2017,2011
1468,-84.7,2017,2011
1470,-84.9,2017,2011
1472,-85.1,2017,2011
1474,-84.8,2017,2011
1476,-85.1,2017,2011
1478,-85.0,2017,2011
1480,-84.7,2017,2011
1482,-84.7,2017,2011
1484,-84.6,2017,2011
1486,-84.8,2017,2011
1488,-85.1,2017,2011
1490,-84.6,2017,2011
1492,-84.9,2017,2011
1494,-84.7,2017,2011
1496,-84.9,2017,2011
1498,-85.0,2017,2011
1500,-85.1,2017,2011
1502,-84.7,2017,2011
1504,-85.4,2017,2011
1506,-84.8,2017,2011
1508,-85.2,2017,2011
1510,-85.1,2017,2011
1512,-84.9,2017,2011
1514,-84.5,2017,2011
1516,-84.8,2017,2011
1518,-84.6,2017,2011
1520,-85.1,2017,2011
1522,-85.4,2017,2011
1524,-85.2,2017,2011
1526,-85.1,2017,2011
1528,-84.7,2017,2011
1530,-84.7,2017,2011
1532,-85.0,2017,2011
1534,-85.2,2017,2011
1536,-85.0,2017,2011
1538,-85.2,2017,2011
1540,-85.0,2017,2011
1542,-85.2,2017,2011
1544,-85.1,2017,2011
1546,-85.1,2017,2011
1548,-85.1,2017,2011
1550,-84.7,2017,2011
1552,-84.8,2017,2011
1554,-84.7,2017,2011
1556,-85.3,2017,2011
1558,-85.1,2017,2011
1560,-85.2,2017,2011
1562,-84.8,2017,2011
1564,-84.7,2017,2011
1566,-84.8,2017,2011
1568,-84.9,2017,2011
1570,-85.1,2017,2011
1572,-85.4,2017,2011
1574,-84.4,2017,2011
1576,-84.6,2017,2011
1578,-85.2,2017,2011
1580,-85.0,2017,2011
1582,-84.7,2017,2011
1584,-84.6,2017,2011
1586,-84.7,2017,2011
1588,-84.9,2017,2011
1590,-84.7,2017,2011
1592,-85.2,2017,2011
1594,-84.9,2017,2011
1596,-85.1,2017,2011
1598,-84.8,2017,2011
1600,-84.8,2017,2011
1602,-84.8,2017,2011
1604,-84.8,2017,2011
1606,-84.9,2017,2011
1608,-85.7,2017,2011
1610,-85.1,2017,2011
1612,-85.3,2017,2011
1614,-84.7,2017,2011
1616,-85.1,2017,2011
1618,-84.8,2017,2011
1620,-85.0,2017,2011
1622,-85.1,2017,2011
1624,-84.9,2017,2011
1626,-84.8,2017,2011
1628,-85.0,2017,2011
1630,-85.4,2017,2011
1632,-84.9,2017,2011
1634,-85.0,2017,2011
1636,-84.9,2017,2011
1638,-85.0,2017,2011
1640,-85.2,2017,2011
1642,-85.0,2017,2011
1644,-85.0,2017,2011
1646,-85.1,2017,2011
1648,-85.0,2017,2011
1650,-84.8,2017,2011
1652,-85.1,2017,2011
1654,-84.8,2017,2011
1656,-85.0,2017,2011
1658,-84.8,2017,2011
1660,-85.0,2017,2011
1662,-85.0,2017,2011
1664,-84.8,2017,2011
1666,-85.1,2017,2011
1668,-85.4,2017,2011
1670,-85.1,2017,2011
1672,-84.6,2017,2011
1674,-84.6,2017,2011
1676,-85.3,2017,2011
1678,-85.1,2017,2011
1680,-84.9,2017,2011
1682,-84.8,2017,2011
1684,-84.7,2017,2011
1686,-85.3,2017,2011
1688,-85.0,2017,2011
1690,-85.4,2017,2011
1692,-84.9,2017,2011
1694,-85.5,2017,2011
1696,-84.8,2017,2011
1698,-84.7,2017,2011
1700,-85.0,2017,2011
1702,-85.0,2017,2011
1704,-85.0,2017,2011
1706,-84.8,2017,2011
1708,-85.1,2017,2011
1710,-84.8,2017,2011
1712,-85.0,2017,2011
1714,-84.7,2017,2011
1716,-84.8,2017,2011
1718,-85.1,2017,2011
1720,-84.8,2017,2011
1722,-85.0,2017,2011
1724,-85.1,2017,2011
1726,-85.0,2017,2011
1728,-84.8,2017,2011
1730,-84.8,2017,2011
1732,-85.2,2017,2011
1734,-85.1,2017,2011
1736,-85.0,2017,2011
1738,-84.8,2017,2011
1740,-84.8,2017,2011
1742,-85.1,2017,2011
1744,-84.9,2017,2011
1746,-84.9,2017,2011
1748,-85.2,2017,2011
1750,-84.8,2017,2011
1752,-84.8,2017,2011
1754,-85.3,2017,2011
1756,-84.8,2017,2011
1758,-85.0,2017,2011
1760,-84.9,2017,2011
1762,-84.9,2017,2011
1764,-85.3,2017,2011
1766,-85.2,2017,2011
1768,-84.9,2017,2011
1770,-85.0,2017,2011
1772,-85.1,2017,2011
1774,-85.1,2017,2011
1776,-84.6,2017,2011
1778,-84.7,2017,2011
1780,-84.8,2017,2011
1782,-84.9,2017,2011
1784,-85.3,2017,2011
1786,-84.8,2017,2011
1788,-85.4,2017,2011
1790,-84.8,2017,2011
1792,-85.0,2017,2011
1794,-84.9,2017,2011
1796,-85.0,2017,2011
1798,-84.8,2017,2011
1800,-84.9,2017,2011
1802,-85.0,2017,2011
1804,-84.9,2017,2011
1806,-85.2,2017,2011
1808,-84.7,2017,2011
1810,-85.2,2017,2011
1812,-85.1,2017,2011
1814,-85.0,2017,2011
1816,-84.9,2017,2011
1818,-85.2,2017,2011
1820,-84.8,2017,2011
1822,-85.0,2017,2011
1824,-85.2,2017,2011
1826,-84.8,2017,2011
1828,-85.0,2017,2011
1830,-84.8,2017,2011
1832,-85.4,2017,2011
1834,-84.9,2017,2011
1836,-85.0,2017,2011
1838,-85.1,2017,2011
1840,-85.0,2017,2011
1842,-85.3,2017,2011
1844,-85.1,2017,2011
1846,-85.4,2017,2011
1848,-85.0,2017,2011
1850,-85.1,2017,2011
1852,-85.2,2017,2011
1854,-85.3,2017,2011
1856,-84.8,2017,2011
1858,-84.8,2017,2011
1860,-85.0,2017,2011
1862,-85.1,2017,2011
1864,-85.6,2017,2011
1866,-84.7,2017,2011
1868,-85.4,2017,2011
1870,-84.8,2017,2011
1872,-84.9,2017,2011
1874,-84.7,2017,2011
1876,-84.9,2017,2011
1878,-84.9,2017,2011
1880,-84.8,2017,2011
1882,-84.9,2017,2011
1884,-85.2,2017,2011
1886,-85.0,2017,2011
1888,-85.0,2017,2011
1890,-85.0,2017,2011
1892,-84.8,2017,2011
1894,-85.0,2017,2011
1896,-84.9,2017,2011
1898,-85.0,2017,2011
1900,-85.0,2017,2011
1902,-84.7,2017,2011
1904,-85.3,2017,2011
1906,-85.1,2017,2011
1908,-85.0,2017,2011
1910,-84.7,2017,2011
1912,-84.9,2017,2011
1914,-85.2,2017,2011
1916,-84.7,2017,2011
1918,-84.5,2017,2011
1920,-84.9,2017,2011
1922,-85.2,2017,2011
1924,-84.9,2017,2011
1926,-84.9,2017,2011
1928,-85.3,2017,2011
1930,-85.1,2017,2011
1932,-85.2,2017,2011
1934,-84.7,2017,2011
1936,-84.7,2017,2011
1938,-84.8,2017,2011
1940,-85.2,2017,2011
1942,-84.6,2017,2011
1944,-85.2,2017,2011
1946,-85.0,2017,2011
1948,-85.4,2017,2011
1950,-85.2,2017,2011
1952,-85.1,2017,2011
1954,-85.2,2017,2011
1956,-85.0,2017,2011
1958,-84.7,2017,2011
1960,-84.7,2017,2011
1962,-85.1,2017,2011
1964,-85.1,2017,2011
1966,-84.8,2017,2011
1968,-84.9,2017,2011
1970,-85.1,2017,2011
1972,-84.9,2017,2011
1974,-84.6,2017,2011
1976,-85.2,2017,2011
1978,-85.2,2017,2011
1980,-85.0,2017,2011
1982,-85.0,2017,2011
1984,-85.3,2017,2011
1986,-85.2,2017,2011
1988,-84.8,2017,2011
1990,-85.0,2017,2011
1992,-84.8,2017,2011
1994,-85.1,2017,2011
1996,-85.1,2017,2011
1998,-84.9,2017,2011
2000,-84.6,2017,2011
2002,-84.8,2017,2011
2004,-85.1,2017,2011
2006,-84.9,2017,2011
2008,-85.1,2017,2011
2010,-84.9,2017,2011
2012,-85.1,2017,2011
2014,-84.9,2017,2011
2016,-85.5,2017,2011
2018,-84.8,2017,2011
2020,-85.3,2017,2011
2022,-85.2,2017,2011
2024,-84.7,2017,2011
2026,-84.9,2017,2011
2028,-84.8,2017,2011
2030,-84.9,2017,2011
2032,-84.8,2017,2011
2034,-85.0,2017,2011
2036,-85.4,2017,2011
2038,-84.7,2017,2011
2040,-84.7,2017,2011
2042,-85.3,2017,2011
2044,-85.0,2017,2011
2046,-84.7,2017,2011
2048,-84.9,2017,2011
2050,-85.0,2017,2011
2052,-84.9,2017,2011
2054,-85.0,2017,2011
2056,-84.7,2017,2011
2058,-84.8,2017,2011
2060,-84.8,2017,2011
2062,-84.9,2017,2011
